"Code:","Código:"
"When creating your application in the <a href=""https://appstore.rdstation.com/pt-BR/publisher"" target=""_blank"">RD Station App Store</a>, you will receive two credentials known as <i>client_id</i> and <i>client_secret.</i>","Ao criar o seu aplicativo na <a href=""https://appstore.rdstation.com/pt-BR/publisher"" target=""_blank"">RD Station App Store</a>, você receberá duas credenciais conhecidas como <i>client_id</i> e <i>client_secret.</i>"
"These credentials are used to generate the <i>code</i>, which authorizes the connection of the module to a specific RD Station Marketing account.","Essas credenciais são usadas para gerar o <i>code</i>, que autoriza a conexão do módulo a uma conta específica do RD Station Marketing."
"The callback URL that should be registered in the App within RD Station Marketing is: <b>%1</b>","A URL de retorno (callback) que deve ser registrada no App dentro do RD Station Marketing é: <b>%1</b>"
"After creating the App in RD Station, insert the <i>client_id</i> and <i>client_secret</i> credentials by clicking <a target=""_blank"" href=""%1"">here</a>","Após criar o App no RD Station, insira as credenciais de <i>client_id</i> e <i>client_secret</i> clicando <a target=""_blank"" href=""%1"">aqui</a>"
"Congratulations, you have already created the credentials known as <i>client_id</i> and <i>client_secret.</i>","Parabéns, você já criou as credenciais conhecidas como <i>client_id</i> e <i>client_secret.</i>"
"Now it's time to generate the <i>code</i> to complete the authentication between the module and your RD Station Marketing account.","Agora é hora de gerar o <i>code</i> para completar a autenticação entre o módulo e sua conta do RD Station Marketing."
"The Code has already been generated. To enable the button and generate a new code, you need to remove the saved code. Please click","O Código já foi gerado. Para habilitar o botão e gerar um novo, é necessário remover o código salvo. Por favor clique"
"here","aqui"
"to remove.","para remover."
"By clicking the button below, the necessary custom fields will be automatically created within RD Station Marketing.","Clicando no botão abaixo, os campos personalizados necessários serão automaticamente criados no RD Station Marketing."
"This step should only be performed after the authorization code has been created.","Esta etapa só deve ser realizada após a criação do código de autorização."
"Create Custom Fields","Criar Campos Personalizados"
"Result of Custom Fields Creation","Resultado Criação de Campos Personalizados"
"Check below the results of the field creation.","Confira abaixo o resultado da criação dos campos."
"A field with the identifier <strong>'{$matches[1]}'</strong> already exists.<br>","Um campo com o identificador <strong>'{$matches[1]}'</strong> já existe.<br>"
"Error creating the field.","Erro ao criar o campo."
"A field with the name <strong>'{$matches[1]}'</strong> already exists.<br>","O campo de nome <strong>'{$matches[1]}'</strong> já existe.<br>"
"Unknown error creating the field.","Erro desconhecido ao criar o campo."
"Error: {$response['message']}","Erro: {$response['message']}"
"All fields were successfully created.","Todos os campos foram criados com sucesso."
"RD Station Code","RD Station Code"
"Code:","Código:"
"Now with the CODE in hand, you need to save it in the ADMIN at:","Agora, com o CÓDIGO em mãos, você precisa salvá-lo no ADMIN em:"
"Store → Settings → Digitaria Agency → API RD Station Marketing → ""Code"" field.","Loja → Configurações → Agência Digitaria → API RD Station Marketing → Campo ""Code""."
"Access ADMIN","Acessar o ADMIN"
"Copy Code","Copiar Código"
"Code not available.","Código não disponível."
"Complete your settings in the ADMIN to view the RD code.","Complete suas configurações no ADMIN para visualizar o código RD."
"1 Day","1 Dia"
"5 Days","5 Dias"
"7 Days","7 Dias"
"10 Days","10 Dias"
"15 Days","15 Dias"
"30 Days","30 Dias"
"60 Days","60 Dias"
"RD Station Create Fields","RD Station Campos Personalizados"
"RD Station API Log","RD Station Log da API"
"Authentication Settings","Configurações da API"
"Log Settings","Configurações do Log"
"Cleanup Logs After","Limpar Logs após"
"RD Station Authentication Link","Link para autenticação"
"The callback URL that should be registered in the App within RD Station Marketing is:","A URL de retorno (callback) que deve ser cadastrada no App dentro do RD Station Marketing é:"
"You need to enter a Client ID to generate the authentication URL","Você precisa inserir um Client ID para gerar a URL de autenticação"
"The Code has already been generated. To generate the link again, remove the saved code above.","O Code já foi gerado. Para gerar o link novamente, remova o code salvo acima."
"RD Authentication Link","Link de Autenticação no RD"
"Generate Code","Gerar Code"
"Agency Digitaria","Agência Digitaria"
"Error Token","Erro ao Obter Token"
"Send to RD","Enviado para o RD"
"Code copied successfully!","Código copiado com sucesso!"
"Failed to copy the code.","Não foi possível copiar o código."
"Code not available.","Code não disponível."
"Complete your settings in the ADMIN to view the RD code.","Complete suas configurações no ADMIN para visualizar o code."
"After creating the App in RD Station, insert the <i>client_id</i> and <i>client_secret</i> credentials by clicking","Após criar o App no ​​RD Station, insira as credenciais <i>client_id</i> e <i>client_secret</i> clicando em"